Position_tree	OTU_name	Taxonomy	Relative_abundance (%)					Trend *				P value_Mann-Whitney U test			
			NCD	HFD	HFD+BBR200	HFD+BBR100	HFD+MET200	HFD+BBR200	HFD+BBR100	HFD+MET200	Kruskalwallis test	NCD vs HFD	HFD vs HFD+BBR200	HFD vs HFD+BBR100	HFD vs HFD+MET200
89	U00011957	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Flavonifractor	0.56	0.83	0.00	0.32	0.18	down	down	down	1.06E-05	0.2123	0.0002	0.0493	0.0021
90	U00799453	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Flavonifractor	0.38	0.53	0.00	0.00	0.03	down	down	down	6.97E-07	0.4055	0.0002	0.0002	0.0029
91	U00164428	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; 	0.15	0.23	0.00	0.02	0.50	down	down	up	2.09E-06	0.7333	0.0002	0.0023	0.0820
92	U00000707	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; 	1.57	0.28	0.00	0.02	0.08	down	down	down	4.91E-06	0.0026	0.0503	0.0766	0.3701
93	U00033878	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Flavonifractor	0.08	0.39	0.00	0.02	0.04	down	down	down	7.85E-05	0.0187	0.0002	0.0014	0.0046
94	U00000792	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Flavonifractor	0.22	0.35	0.00	0.08	0.24	down	down	down	5.72E-05	0.3256	0.0002	0.0124	0.5708
95	U00003505	Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Flavonifractor	0.56	1.62	0.00	0.14	0.53	down	down	down	2.37E-07	0.0113	0.0001	0.0003	0.0058
96	U00208153	Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium	0.30	0.02	0.00	0.00	0.01	down	down	down	3.91E-06	0.0017	0.1681	0.1681	0.6548
97	U00030870	Firmicutes; Clostridia; Clostridiales; ; 	0.17	0.06	0.00	0.00	0.00	down	down	down	1.55E-05	0.0665	0.0350	0.0350	0.0350
98	U00000331	Bacteroidetes; ; ; ; 	0.80	0.62	0.00	0.00	0.71	down	down	up	6.63E-07	0.9698	0.0002	0.0002	0.5452
99	U00007276	; ; ; ; 	0.30	0.35	0.00	0.00	0.00	down	down	down	5.19E-08	0.0211	0.0008	0.0008	0.0025
100	U00034351	Firmicutes; Clostridia; Clostridiales; ; 	0.32	0.01	0.00	0.00	0.03	down	down	up	9.99E-06	0.0014	0.3681	0.3681	0.0460
101	U00002201	; ; ; ; 	0.29	0.03	0.00	0.00	0.02	down	down	down	6.79E-07	0.0003	0.5036	0.1681	0.8038
102	U00001891	Firmicutes; Clostridia; Clostridiales; ; 	0.12	0.01	0.00	0.00	0.00	down	down	down	6.34E-06	0.0033	0.3681	0.3681	1.0000
103	U00803665	Firmicutes; Clostridia; Clostridiales; ; 	0.15	0.00	0.00	0.00	0.01	same	same	up	3.48E-06	0.0008	NaN	NaN	0.1681
104	U00027111	Firmicutes; ; ; ; 	0.36	0.21	0.00	0.00	0.10	down	down	down	1.40E-05	0.0620	0.0149	0.0149	0.8085
105	U00004249	Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Clostridium XlVa	2.70	0.83	0.00	0.01	0.01	down	down	down	4.95E-08	0.0022	0.0002	0.0006	0.0008
106	U00022573	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.02	0.07	0.03	0.01	0.29	down	down	up	1.12E-04	0.7096	0.8361	0.3517	0.0073
107	U00000499	Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Allobaculum	0.09	0.28	0.04	0.10	1.26	down	down	up	6.05E-05	0.4821	0.1378	1.0000	0.0028
108	U00001116	Firmicutes; ; ; ; 	0.73	0.87	0.01	0.00	0.10	down	down	down	1.70E-07	0.9698	0.0001	0.0001	0.0025
109	U00000272	; ; ; ; 	0.67	0.64	0.00	0.01	1.28	down	down	up	3.39E-07	0.6776	0.0004	0.0004	0.1212
